===== Export Data Var P =====
RobotTypeName : ,VS068A4-AV6-NNN-NNN A
RobotTypeID : ,262244,0
File Version : ,2
[No.],[X],[Y],[Z],[RX],[RY],[RZ],[FIG],[Usage],[Macro]
109,0,0,0,0,0,0,-1 - Undefined,"",
110,0,0,0,0,0,0,-1 - Undefined,"",
111,-113.28,-431.4096,721,-179.9013,0,-69,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"",
112,-366.9,-740.6928,721,-179.9039,0,111,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"",
113,-616.9,-441.1232,721,-179.9011,0,-69,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"",
114,-136.8,-759.134,557,-179.9013,0,-69,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single,"",
115,-364.8,-420.0798,557,-179.9013,0,111,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"",
116,-602.3,-768.9649,557,-179.9013,0,-69,5 - Lefty | Above | NonFlip | J6Single | J4Single | J1Single,"",
117,0,0,0,0,0,0,-1 - Undefined,"",
118,0,0,0,0,0,0,-1 - Undefined,"",
119,0,0,0,0,0,0,-1 - Undefined,"",
120,0,0,0,0,0,0,-1 - Undefined,"",
121,0,0,0,0,0,0,-1 - Undefined,"",
122,0,0,0,0,0,0,-1 - Undefined,"",
123,0,0,0,0,0,0,-1 - Undefined,"",
124,0,0,0,0,0,0,-1 - Undefined,"",
125,0,0,0,0,0,0,-1 - Undefined,"",
126,0,0,0,0,0,0,-1 - Undefined,"",
127,0,0,0,0,0,0,-1 - Undefined,"",
128,0,0,0,0,0,0,-1 - Undefined,"",
129,0,0,0,0,0,0,-1 - Undefined,"",
130,0,0,0,0,0,0,-1 - Undefined,"",
131,0,0,0,0,0,0,-1 - Undefined,"",
132,0,0,0,0,0,0,-1 - Undefined,"",
133,0,0,0,0,0,0,-1 - Undefined,"",
134,0,0,0,0,0,0,-1 - Undefined,"",
135,0,0,0,0,0,0,-1 - Undefined,"",
136,0,0,0,0,0,0,-1 - Undefined,"",
137,0,0,0,0,0,0,-1 - Undefined,"",
138,0,0,0,0,0,0,-1 - Undefined,"",
139,0,0,0,0,0,0,-1 - Undefined,"",
140,0,0,0,0,0,0,-1 - Undefined,"",
141,0,0,0,0,0,0,-1 - Undefined,"",
142,0,0,0,0,0,0,-1 - Undefined,"",
143,0,0,0,0,0,0,-1 - Undefined,"",
144,0,0,0,0,0,0,-1 - Undefined,"",
145,0,0,0,0,0,0,-1 - Undefined,"",
146,0,0,0,0,0,0,-1 - Undefined,"",
147,0,0,0,0,0,0,-1 - Undefined,"",
148,0,0,0,0,0,0,-1 - Undefined,"",
149,0,0,0,0,0,0,-1 - Undefined,"",
150,0,0,0,0,0,0,-1 - Undefined,"",
151,0,0,0,0,0,0,-1 - Undefined,"",
152,0,0,0,0,0,0,-1 - Undefined,"",
153,0,0,0,0,0,0,-1 - Undefined,"",
154,0,0,0,0,0,0,-1 - Undefined,"",
155,0,0,0,0,0,0,-1 - Undefined,"",
156,0,0,0,0,0,0,-1 - Undefined,"",
157,0,0,0,0,0,0,-1 - Undefined,"",
158,0,0,0,0,0,0,-1 - Undefined,"",
159,0,0,0,0,0,0,-1 - Undefined,"",
160,0,0,0,0,0,0,-1 - Undefined,"",
161,0,0,0,0,0,0,-1 - Undefined,"",
162,0,0,0,0,0,0,-1 - Undefined,"",
163,0,0,0,0,0,0,-1 - Undefined,"",
164,0,0,0,0,0,0,-1 - Undefined,"",
165,0,0,0,0,0,0,-1 - Undefined,"",
166,0,0,0,0,0,0,-1 - Undefined,"",
167,0,0,0,0,0,0,-1 - Undefined,"",
168,0,0,0,0,0,0,-1 - Undefined,"",
169,0,0,0,0,0,0,-1 - Undefined,"",
170,0,0,0,0,0,0,-1 - Undefined,"",
171,0,0,0,0,0,0,-1 - Undefined,"",
172,0,0,0,0,0,0,-1 - Undefined,"",
173,0,0,0,0,0,0,-1 - Undefined,"",
174,0,0,0,0,0,0,-1 - Undefined,"",
175,0,0,0,0,0,0,-1 - Undefined,"",
176,0,0,0,0,0,0,-1 - Undefined,"",
177,0,0,0,0,0,0,-1 - Undefined,"",
178,0,0,0,0,0,0,-1 - Undefined,"",
179,0,0,0,0,0,0,-1 - Undefined,"",
180,0,0,0,0,0,0,-1 - Undefined,"",
181,0,0,0,0,0,0,-1 - Undefined,"",
182,0,0,0,0,0,0,-1 - Undefined,"",
183,0,0,0,0,0,0,-1 - Undefined,"",
184,0,0,0,0,0,0,-1 - Undefined,"",
185,0,0,0,0,0,0,-1 - Undefined,"",
186,0,0,0,0,0,0,-1 - Undefined,"",
187,0,0,0,0,0,0,-1 - Undefined,"",
188,0,0,0,0,0,0,-1 - Undefined,"",
189,0,0,0,0,0,0,-1 - Undefined,"",
190,0,0,0,0,0,0,-1 - Undefined,"",
191,0,0,0,0,0,0,-1 - Undefined,"",
192,0,0,0,0,0,0,-1 - Undefined,"",
193,0,0,0,0,0,0,-1 - Undefined,"",
194,0,0,0,0,0,0,-1 - Undefined,"",
195,0,0,0,0,0,0,-1 - Undefined,"",
196,0,0,0,0,0,0,-1 - Undefined,"",
197,0,0,0,0,0,0,-1 - Undefined,"",
198,0,0,0,0,0,0,-1 - Undefined,"",
199,0,0,0,0,0,0,-1 - Undefined,"",
